Metric.Name,Description,Data.Location
CatAreaSqKm,Area of local NHDPlus catchment (square km),All tables
WsAreaSqKm,"Watershed area (square km) at NHDPlus stream segment outlet, i.e., at the most downstream location of the vector line segment",All tables
CatAreaSqKmRp100,Area of local NHDPlus catchments (square km)  within a 100-m buffer of NHD streams.,All RipBuf100 tables 
WsAreaSqKmRp100,Watershed area (square km)  within a 100-m buffer of NHD streams,All RipBuf100 tables 
CatPctFull,% of the catchment that is covered by the landscape layer.,All tables
WsPctFull,% of the watershed that is covered by the landscape raster.,All tables
CatPctFullRp100,% of the riparian buffer within the catchment that is covered by the landscape layer.,All RipBuf100 tables 
WsPctFullRp100,% of the riparian buffer within the watershed that is covered by the landscape raster.,All RipBuf100 tables 
CanalDensCat,"Density of NHDPlus line features classified as canal, ditch, or pipeline within the catchment (km/ square km)","CanalDensity_(RegionID).csv, CanalDensity_(StateID).csv"
CanalDensWs,"Density of NHDPlus line features classified as canal, ditch, or pipeline within the upstream watershed (km/ square km)","CanalDensity_(RegionID).csv, CanalDensity_(StateID).csv"
ElevCat,Mean catchment elevation (m),"Elevation_(RegionID).csv, Elevation_(StateID).csv"
ElevWs,Mean watershed elevation (m),"Elevation_(RegionID).csv, Elevation_(StateID).csv"
PctUrbHi2006Cat,"% of catchment area classified as developed, high-intensity land use (NLCD 2006 class 24)","NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctUrbHi2006Ws,"% of watershed area classified as developed, high-intensity land use (NLCD 2006 class 24)","NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctUrbHi2006CatRp100,"% of catchment area classified as developed, high-intensity land use (NLCD 2006 class 24) within a 100-m buffer of NHD streams","NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctUrbHi2006WsRp100,"% of watershed area classified as developed, high-intensity land use (NLCD 2006 class 24) within a 100-m buffer of NHD streams","NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctUrbMd2006Cat,"% of catchment area classified as developed, medium-intensity land use (NLCD 2006 class 23)","NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctUrbMd2006Ws,"% of watershed area classified as developed, medium-intensity land use (NLCD 2006 class 23)","NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctUrbMd2006CatRp100,"% of catchment area classified as developed, medium-intensity land use (NLCD 2006 class 23) within a 100-m buffer of NHD streams","NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctUrbMd2006WsRp100,"% of watershed area classified as developed, medium-intensity land use (NLCD 2006 class 23) within a 100-m buffer of NHD streams","NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctUrbLo2006Cat,"% of catchment area classified as developed, low-intensity land use (NLCD 2006 class 22)","NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctUrbLo2006Ws,"% of watershed area classified as developed, low-intensity land use (NLCD 2006 class 22)","NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctUrbLo2006CatRp100,"% of catchment area classified as developed, low-intensity land use (NLCD 2006 class 22) within a 100-m buffer of NHD streams","NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctUrbLo2006WsRp100,"% of watershed area classified as developed, low-intensity land use (NLCD 2006 class 22) within a 100-m buffer of NHD streams","NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctUrbOp2006Cat,"% of catchment area classified as developed, open space land use (NLCD 2006 class 21)","NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctUrbOp2006Ws,"% of watershed area classified as developed, open space land use (NLCD 2006 class 21)","NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctUrbOp2006CatRp100,"% of catchment area classified as developed, open space land use (NLCD 2006 class 21) within a 100-m buffer of NHD streams","NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctUrbOp2006WsRp100,"% of watershed area classified as developed, open space land use (NLCD 2006 class 21) within a 100-m buffer of NHD streams","NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctCrop2006Cat,% of catchment area classified as crop land use (NLCD 2006 class 82),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctCrop2006Ws,% of watershed area classified as crop land use (NLCD 2006 class 82),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctCrop2006CatRp100,% of catchment area classified as crop land use (NLCD 2006 class 82) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctCrop2006WsRp100,% of watershed area classified as crop land use (NLCD 2006 class 82) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctHay2006Cat,% of catchment area classified as hay land use (NLCD 2006 class 81),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctHay2006Ws,% of watershed area classified as hay land use (NLCD 2006 class 81),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctHay2006CatRp100,% of catchment area classified as hay land use (NLCD 2006 class 81) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctHay2006WsRp100,% of watershed area classified as hay land use (NLCD 2006 class 81) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctDecid2006Cat,% of catchment area classified as deciduous forest land cover (NLCD 2006 class 41),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctDecid2006Ws,% of watershed area classified as deciduous forest land cover (NLCD 2006 class 41),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctDecid2006CatRp100,% of catchment area classified as deciduous forest land cover (NLCD 2006 class 41) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctDecid2006WsRp100,% of watershed area classified as deciduous forest land cover (NLCD 2006 class 41) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctConif2006Cat,% of catchment area classified as evergreen forest land cover (NLCD 2006 class 42),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctConif2006Ws,% of watershed area classified as evergreen forest land cover (NLCD 2006 class 42),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctConif2006CatRp100,% of catchment area classified as evergreen forest land cover (NLCD 2006 class 42) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctConif2006WsRp100,% of watershed area classified as evergreen forest land cover (NLCD 2006 class 42) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctMxFst2006Cat,% of catchment area classified as mixed deciduous/evergreen forest land cover (NLCD 2006 class 43),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctMxFst2006Ws,% of watershed area classified as mixed deciduous/evergreen forest land cover (NLCD 2006 class 43),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctMxFst2006CatRp100,% of catchment area classified as mixed deciduous/evergreen forest land cover (NLCD 2006 class 43) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctMxFst2006WsRp100,% of watershed area classified as mixed deciduous/evergreen forest land cover (NLCD 2006 class 43) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctBl2006Cat,% of catchment area classified as barren land cover (NLCD 2006 class 31),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctBl2006Ws,% of watershed area classified as barren land cover (NLCD 2006 class 31),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctBl2006CatRp100,% of catchment area classified as barren land cover (NLCD 2006 class 31) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctBl2006WsRp100,% of watershed area classified as barren land cover (NLCD 2006 class 31) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctOw2006Cat,% of catchment area classified as open water land cover (NLCD 2006 class 11),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctOw2006Ws,% of watershed area classified as open water land cover (NLCD 2006 class 11),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctOw2006CatRp100,% of catchment area classified as open water land cover (NLCD 2006 class 11) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctOw2006WsRp100,% of watershed area classified as open water land cover (NLCD 2006 class 11) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctIce2006Cat,% of catchment area classified as ice/snow land cover (NLCD 2006 class 12),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctIce2006Ws,% of watershed area classified as ice/snow land cover (NLCD 2006 class 12),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctIce2006CatRp100,% of catchment area classified as ice/snow land cover (NLCD 2006 class 12) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctIce2006WsRp100,% of watershed area classified as ice/snow land cover (NLCD 2006 class 12) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctHbWet2006Cat,% of catchment area classified as herbaceous wetland land cover (NLCD 2006 class 95),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctHbWet2006Ws,% of watershed area classified as herbaceous wetland land cover (NLCD 2006 class 95),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctHbWet2006CatRp100,% of catchment area classified as herbaceous wetland land cover (NLCD 2006 class 95) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctHbWet2006WsRp100,% of watershed area classified as herbaceous wetland land cover (NLCD 2006 class 95) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctWdWet2006Cat,% of catchment area classified as woody wetland land cover (NLCD 2006 class 90),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctWdWet2006Ws,% of watershed area classified as woody wetland land cover (NLCD 2006 class 90),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctWdWet2006CatRp100,% of catchment area classified as woody wetland land cover (NLCD 2006 class 90) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctWdWet2006WsRp100,% of watershed area classified as woody wetland land cover (NLCD 2006 class 90) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctShrb2006Cat,% of catchment area classified as shrub/scrub land cover (NLCD 2006 class 52),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctShrb2006Ws,% of watershed area classified as shrub/scrub land cover (NLCD 2006 class 52),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctShrb2006CatRp100,% of catchment area classified as shrub/scrub land cover (NLCD 2006 class 52) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctShrb2006WsRp100,% of watershed area classified as shrub/scrub land cover (NLCD 2006 class 52) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctGrs2006Cat,% of catchment area classified as grassland/herbaceous land cover (NLCD 2006 class 71),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctGrs2006Ws,% of watershed area classified as grassland/herbaceous land cover (NLCD 2006 class 71),"NLCD2006_(RegionID).csv, NLCD2006_(StateID).csv"
PctGrs2006CatRp100,% of catchment area classified as grassland/herbaceous land cover (NLCD 2006 class 71) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctGrs2006WsRp100,% of watershed area classified as grassland/herbaceous land cover (NLCD 2006 class 71) within a 100-m buffer of NHD streams,"NLCD2006RipBuf100_(RegionID).csv, NLCD2006RipBuf100_(StateID).csv"
PctAg2006Slp10Cat,% of catchment area classified as ag land cover (NLCD 2006 classes 81-82) occurring on slopes greater than or equal to 10%,"AgMidHiSlopes_(RegionID).csv, AgMidHiSlopes_(StateID).csv"
PctAg2006Slp10Ws,% of watershed area classified as ag land cover (NLCD 2006 classes 81-82) occurring on slopes greater than or equal to 10%,"AgMidHiSlopes_(RegionID).csv, AgMidHiSlopes_(StateID).csv"
PctAg2006Slp20Cat,% of catchment area classified as ag land cover (NLCD 2006 classes 81-82) occurring on slopes greater than or equal to 20%,"AgMidHiSlopes_(RegionID).csv, AgMidHiSlopes_(StateID).csv"
PctAg2006Slp20Ws,% of watershed area classified as ag land cover (NLCD 2006 classes 81-82) occurring on slopes greater than or equal to 20%,"AgMidHiSlopes_(RegionID).csv, AgMidHiSlopes_(StateID).csv"
PctImp2011Cat,Mean imperviousness of anthropogenic surfaces (NLCD 2011) within catchment ,"ImperviousSurfaces2011_(RegionID).csv, ImperviousSurfaces2011_(StateID).csv"
PctImp2011Ws,Mean imperviousness of anthropogenic surfaces (NLCD 2011) within watershed,"ImperviousSurfaces2011_(RegionID).csv, ImperviousSurfaces2011_(StateID).csv"
PctImp2011CatRp100,Mean imperviousness of anthropogenic surfaces (NLCD 2011) within catchment and within a 100-m buffer of NHD stream lines,"ImperviousSurfaces2011RipBuf100_(RegionID).csv, ImperviousSurfaces2011RipBuf100_(StateID).csv"
PctImp2011WsRp100,Mean imperviousness of anthropogenic surfaces (NLCD 2011) within watershed and within a 100-m buffer of NHD stream lines,"ImperviousSurfaces2011RipBuf100_(RegionID).csv, ImperviousSurfaces2011RipBuf100_(StateID).csv"
PctImp2006Cat,Mean imperviousness of anthropogenic surfaces (NLCD 2006) within catchment ,"ImperviousSurfaces2006_(RegionID).csv, ImperviousSurfaces2006_(StateID).csv"
