GRAND_ID,AREA_SKM,POLY_SRC,lon,lat
1,2.1,SWBD,-153.0200815,57.63707037
3,4.4,SWBD,-135.1635155,57.07340831
4,3.9,SWBD,-135.0657225,56.98023918
5,5.3,SWBD,-133.7754638,58.18657869
8,5.1,SWBD,-131.2868517,55.61636862
10,0.8,SWBD,-131.5325121,55.37733748
11,2.1,SWBD,-131.6263662,55.38143924
40,18.6,SWBD,-122.3357203,48.72412339
41,35,SWBD,-121.0490668,48.85301928
42,2.6,SWBD,-121.1084852,48.70765753
43,17.6,SWBD,-121.6409764,48.70902193
44,7.1,SWBD,-121.7237351,48.58536222
47,5.7,SWBD,-121.6424598,47.97366046
48,1.6,SWBD,-121.8447789,47.95920883
49,127.7,SWBD,-120.3543525,48.03666927
50,4,SWBD,-121.6575527,47.70121495
51,12.9,SWBD,-123.2506958,47.46818873
52,6.8,McGill,-121.6977277,47.39027063
53,2.7,SWBD,-122.1242514,47.41983583
54,3,SWBD,-123.5875,47.40360406
55,9.2,SWBD,-121.3687348,47.34969927
56,1.6,SWBD,-121.7685473,47.27367533
57,16.9,SWBD,-121.2283213,47.31605101
58,16.7,SWBD,-121.1023054,47.28750438
59,7.8,SWBD,-122.1663757,47.22199062
60,4.8,SWBD,-121.3273538,46.85043566
61,10,SWBD,-122.2661782,46.77893475
62,1.9,SWBD,-122.6894019,46.78619932
63,8.2,SWBD,-121.1744928,46.63944156
64,38.4,SWBD,-122.2985417,46.49056376
65,7.4,SWBD,-122.5495879,46.53506053
66,1.1,SWBD,-122.0932825,46.4764315
67,1.8,SWBD,-122.5420895,46.35076658
68,16.7,SWBD,-122.1153898,46.05594286
69,0.2,SWBD,-123.366088,46.03579566
70,13.6,SWBD,-122.3124204,46.01136827
71,1.3,SWBD,-122.0648423,45.4859485
72,4,SWBD,-123.2189325,45.48413327
73,1.7,SWBD,-121.8305771,45.45484313
74,1.2,SWBD,-122.1356929,45.45064924
75,1.3,SWBD,-123.3837609,45.44057528
76,1.3,SWBD,-122.6947685,45.40981292
