GRAND_ID,AREA_SKM,POLY_SRC,lon,lat,CRS,COMID
1,2.1,SWBD,-153.0200815,57.637070370000004,WGS84,NA
3,4.4,SWBD,-135.1635155,57.07340831,WGS84,NA
4,3.9,SWBD,-135.0657225,56.98023918,WGS84,NA
5,5.3,SWBD,-133.7754638,58.18657869,WGS84,NA
8,5.1,SWBD,-131.2868517,55.61636862,WGS84,NA
10,0.8,SWBD,-131.5325121,55.37733748,WGS84,NA
11,2.1,SWBD,-131.6263662,55.38143924,WGS84,NA
40,18.6,SWBD,-122.3357203,48.72412339,WGS84,24534422
41,35,SWBD,-121.0490668,48.85301928,WGS84,24256221
42,2.6,SWBD,-121.1084852,48.70765753,WGS84,24255209
43,17.6,SWBD,-121.6409764,48.70902193,WGS84,24255979
44,7.1,SWBD,-121.7237351,48.58536222,WGS84,24255887
47,5.7,SWBD,-121.6424598,47.97366046,WGS84,23963715
48,1.6,SWBD,-121.8447789,47.95920883,WGS84,23963765
49,127.7,SWBD,-120.3543525,48.03666927,WGS84,23073789
50,4,SWBD,-121.6575527,47.70121495,WGS84,23970767
51,12.9,SWBD,-123.2506958,47.46818873,WGS84,24285522
52,6.8,McGill,-121.6977277,47.39027063,WGS84,24537984
53,2.7,SWBD,-122.1242514,47.41983583,WGS84,23977828
54,3,SWBD,-123.5875,47.40360406,WGS84,23856925
55,9.2,SWBD,-121.3687348,47.34969927,WGS84,24126175
56,1.6,SWBD,-121.7685473,47.27367533,WGS84,23977694
57,16.9,SWBD,-121.2283213,47.31605101,WGS84,24129735
58,16.7,SWBD,-121.1023054,47.28750438,WGS84,24129787
59,7.8,SWBD,-122.1663757,47.22199062,WGS84,23981259
60,4.8,SWBD,-121.3273538,46.85043566,WGS84,24423035
61,10,SWBD,-122.2661782,46.77893475,WGS84,24282064
62,1.9,SWBD,-122.6894019,46.78619932,WGS84,23850757
63,8.2,SWBD,-121.1744928,46.63944156,WGS84,24423313
64,38.4,SWBD,-122.2985417,46.49056376,WGS84,24250288
65,7.4,SWBD,-122.5495879,46.53506053,WGS84,24248954
66,1.1,SWBD,-122.0932825,46.4764315,WGS84,23743618
67,1.8,SWBD,-122.5420895,46.35076658,WGS84,24248676
68,16.7,SWBD,-122.1153898,46.05594286,WGS84,24241961
69,0.2,SWBD,-123.366088,46.03579566,WGS84,23872967
70,13.6,SWBD,-122.3124204,46.01136827,WGS84,24241911
71,1.3,SWBD,-122.0648423,45.4859485,WGS84,23736031
72,4,SWBD,-123.2189325,45.48413327,WGS84,23805110
73,1.7,SWBD,-121.8305771,45.45484313,WGS84,23737773
74,1.2,SWBD,-122.1356929,45.45064924,WGS84,23736019
75,1.3,SWBD,-123.3837609,45.44057528,WGS84,23875901
76,1.3,SWBD,-122.6947685,45.40981292,WGS84,23815530
77,0.9,SWBD,-122.2623009,45.23614381,WGS84,23809100
78,1.9,SWBD,-121.7082022,45.18064013,WGS84,23720743
79,5.5,SWBD,-121.7856439,45.12109475,WGS84,23809476
80,8.5,SWBD,-122.1979729,44.70681377,WGS84,23780571
81,1.6,SWBD,-121.2527891,44.66173749,WGS84,23719735
82,15.2,SWBD,-121.326685,44.57657185,WGS84,23700993
83,11.1,SWBD,-122.4845627,44.47685025,WGS84,23785941
84,1,SWBD,-121.7410468,44.42152941,WGS84,23700241
85,3.2,SWBD,-122.6480269,44.41517216,WGS84,23785773
86,0.6,SWBD,-122.0460895,44.31701928,WGS84,23773391
87,3,SWBD,-120.6942256,44.30408926,WGS84,23713986
88,2.4,SWBD,-122.2889858,44.1817789,WGS84,23773425
89,2.8,SWBD,-122.2322499,44.10593891,WGS84,23773015
90,26.7,SWBD,-123.2957306,44.08827664,WGS84,23763153
91,8.5,SWBD,-120.7258976,44.12238907,WGS84,24515590
92,3.3,SWBD,-122.7312525,43.94960448,WGS84,23752606
93,3.4,SWBD,-122.7891106,43.91467907,WGS84,23751844
94,11.5,SWBD,-122.6867298,43.8753954,WGS84,23751856
95,12,SWBD,-124.089797,43.8758479,WGS84,23893345
96,6.4,SWBD,-124.1174554,43.80067416,WGS84,23893313
97,4.2,SWBD,-122.9318792,43.77675045,WGS84,23759592
98,18.3,SWBD,-121.7994861,43.78684741,WGS84,23700615
99,2.5,SWBD,-123.0637677,43.70619211,WGS84,23759316
100,7.4,SWBD,-122.4247114,43.67750457,WGS84,23751966
101,37.8,SWBD,-121.7312992,43.67845238,WGS84,23700505
102,15.1,SWBD,-121.9902346,43.47752989,WGS84,23706312
103,1.4,SWBD,-122.1845118,43.31203387,WGS84,23894462
104,0.8,SWBD,-123.5647647,43.04605538,WGS84,23901001
105,8.1,SWBD,-121.0861636,42.94157766,WGS84,24026366
106,1.5,SWBD,-123.1656525,42.84469974,WGS84,23901305
107,11.3,SWBD,-122.6453765,42.68455433,WGS84,23923442
108,2.7,SWBD,-122.2552742,42.46723186,WGS84,24092388
