site_name,year,long_name,Source,lat,lon,coord_datum,alt,alt_datum,site_type,COMID,VPU,ndays,nyears,ann_GPP_C,ann_ER_C,PAR_sum,Stream_PAR_sum,Wtemp_mean,Wtemp_cv,Wtemp_skew,Wtemp_kurt,Wtemp_amp,Wtemp_phase,Wtemp_ar1,Disch_mean,Disch_cv,Disch_skew,Disch_kurt,Disch_amp,Disch_phase,Disch_ar1,PAR_mean,PAR_cv,PAR_skew,PAR_kurt,PAR_amp,PAR_phase,PAR_ar1,LAI_mean,LAI_cv,LAI_skew,LAI_kurt,LAI_amp,LAI_phase,LAI_ar1,dvqcoefs.c,Azimuth,tree_height,Width,MOD_ann_NPP,dvqcoefs.f,dvqcoefs.a,dvqcoefs.b,dvqcoefs.k,dvqcoefs.m,struct.canal_flag,struct.dam_flag,struct.npdes_flag,slope_calc,HYRIV_ID,HydroATLAS_near_dist_m,HydroATLAS_dis_m3_pyr,HydroATLAS_run_mm_cyr,HydroATLAS_ria_ha_csu,HydroATLAS_ele_mt_cav,HydroATLAS_ele_mt_cmn,HydroATLAS_ele_mt_cmx,HydroATLAS_slp_dg_cav,HydroATLAS_slp_dg_uav,HydroATLAS_sgr_dk_rav,HydroATLAS_tmp_dc_cyr,HydroATLAS_tmp_dc_uyr,HydroATLAS_tmp_dc_c01,HydroATLAS_tmp_dc_c02,HydroATLAS_tmp_dc_c03,HydroATLAS_tmp_dc_c04,HydroATLAS_tmp_dc_c05,HydroATLAS_tmp_dc_c06,HydroATLAS_tmp_dc_c07,HydroATLAS_tmp_dc_c08,HydroATLAS_tmp_dc_c09,HydroATLAS_tmp_dc_c10,HydroATLAS_tmp_dc_c11,HydroATLAS_tmp_dc_c12,HydroATLAS_pre_mm_cyr,HydroATLAS_pre_mm_uyr,HydroATLAS_pre_mm_c01,HydroATLAS_pre_mm_c02,HydroATLAS_pre_mm_c03,HydroATLAS_pre_mm_c04,HydroATLAS_pre_mm_c05,HydroATLAS_pre_mm_c06,HydroATLAS_pre_mm_c07,HydroATLAS_pre_mm_c08,HydroATLAS_pre_mm_c09,HydroATLAS_pre_mm_c10,HydroATLAS_pre_mm_c11,HydroATLAS_pre_mm_c12,HydroATLAS_ari_ix_cav,HydroATLAS_ari_ix_uav,HydroATLAS_glc_cl_cmj,HydroATLAS_wet_pc_cg2,HydroATLAS_wet_pc_ug2,HydroATLAS_for_pc_cse,HydroATLAS_for_pc_use,HydroATLAS_crp_pc_cse,HydroATLAS_crp_pc_use,HydroATLAS_ppd_pk_cav,HydroATLAS_ppd_pk_uav,HydroATLAS_rdd_mk_cav,HydroATLAS_rdd_mk_uav,HydroATLAS_hdi_ix_cav,HydroATLAS_urb_pc_cse,HydroATLAS_urb_pc_use,NHD_near_dist_m,IGBP_LC_Type1Class2018,IGBP_LU_category,US_state,region,reach_proportion,NHD_STREAMORDE,NHD_HYDROSEQ,NHD_STARTFLAG,NHD_REACHCODE,NHD_AREASQKM,NHD_TOTDASQKM,NHD_LENGTHKM,NHD_SLOPE,NHD_SLOPELENKM,NHD_TIDAL,NHD_MAXELEVSMO,NHD_MINELEVSMO,NHD_AREASQKM_corr,NHD_TOTDASQKM_corr,areal_corr_factor,ElevWs,PrecipWs,TminWs,TmaxWs,TmeanWs,RunoffWs,PctImp2006Ws,PctImp2008Ws,PctImp2011Ws,PctImp2001Ws,PctImp2013Ws,PctImp2019Ws,PctImp2016Ws,PctImp2004Ws,PctOw2011Ws,PctIce2011Ws,PctUrbOp2011Ws,PctUrbLo2011Ws,PctUrbMd2011Ws,PctUrbHi2011Ws,PctBl2011Ws,PctDecid2011Ws,PctConif2011Ws,PctMxFst2011Ws,PctShrb2011Ws,PctGrs2011Ws,PctHay2011Ws,PctCrop2011Ws,PctWdWet2011Ws,PctHbWet2011Ws,PctOw2016Ws,PctIce2016Ws,PctUrbOp2016Ws,PctUrbLo2016Ws,PctUrbMd2016Ws,PctUrbHi2016Ws,PctBl2016Ws,PctDecid2016Ws,PctConif2016Ws,PctMxFst2016Ws,PctShrb2016Ws,PctGrs2016Ws,PctHay2016Ws,PctCrop2016Ws,PctWdWet2016Ws,PctHbWet2016Ws,HUDen2010Ws,PopDen2010Ws,SN_2008Ws,NO3_2008Ws,InorgNWetDep_2008Ws,NH4_2008Ws,DamNIDStorWs,DamNrmStorWs,NABD_NIDStorWs,NABD_NrmStorWs,DamDensWs,SuperfundDensWs,NPDESDensWs,TRIDensWs,RdDensWs,NABD_DensWs,PctCarbResidWs,PctNonCarbResidWs,PctAlkIntruVolWs,PctSilicicWs,PctExtruVolWs,PctColluvSedWs,PctGlacTilClayWs,PctGlacTilLoamWs,PctGlacTilCrsWs,PctGlacLakeCrsWs,PctGlacLakeFineWs,PctHydricWs,PctEolCrsWs,PctEolFineWs,PctSalLakeWs,PctAlluvCoastWs,PctCoastCrsWs,PctWaterWs,CBNFWs,FertWs,ManureWs,WtDepWs,OmWs,PermWs,RckDepWs,BFIWs,HydrlCondWs,NWs,Al2O3Ws,CaOWs,Fe2O3Ws,K2OWs,MgOWs,Na2OWs,P2O5Ws,SWs,SiO2Ws,precip_runoff_ratio
AZ_LV,2018,NA,StreamPULSE,33.5586,-111.669,NA,NA,NA,NA,20440142,15,230,1,155.46923582856456,-167.4824318125763,15.873298511716799,15.75638734687255,20.28,0.17,0.01,-0.07,1.39,205.60723853493698,0.799,5.7,0.41,0.39,0.11,0.92,15.031568285782097,0.881,43.49,0.2,-0.04,-0.01,1.31,167.31399526560566,0.4,0.34,0.04,0.31,0.23,1.02,7.525424876166147,0.844,NA,166.09924820130072,0.5,20.1168,49.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arizona,AZ,0.470154,6,720001890,0,15060203001819,7.038,15862.6494,3.099,0.00207163,3.099,0,41019,40377,3.30894,15858.92034,0.9997649156893048,1564.8905,479.7704652276712,-4.347157309630964,21.66875093595965,13.315508846364414,79.7159,0.7,0.72,0.73,0.65,0.74,0.78,0.75,0.66,0.11,0,1.48,0.76,0.36,0.07,0.07,0.01,34.18,0.01,55.77,6.66,0.04,0.08,0.28,0.12,0.13,0,1.48,0.76,0.38,0.08,0.06,0.01,32.93,0.01,58.15,5.49,0.04,0.08,0.28,0.11,6.8423,11.9608,159.3436,3.6862,1.6071,1.0011,38024.6207,25449.6117,37729.3892,25224.5976,0.0024,4e-4,2e-4,0.0011,1.0924,0.002,16.52,22.91,0.17,47.51,4.48,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0.074,0.1255,0.131,182.1705,0.5058,6.1645,120.6116,31.9088,15.6921,0.0721,11.1948,7.8808,6.3393,1.9359,3.1758,1.9908,0.206,0.2309,56.1744,6.018504027774524
AZ_OC,2018,NA,StreamPULSE,34.8616,-111.762,NA,NA,NA,NA,20453378,15,311,1,81.76690781058116,-177.75128975533227,14.7487777406928,13.47606540721195,14.14,0.17,0.03,-0.06,1.36,196.3699032645077,0.781,0.93,0.13,0.62,0.65,0.12,266.87503492107396,0.348,40.41,0.2,0.02,0.02,1.28,164.96689216820815,0.299,0.56,0.17,-0.04,-0.07,1.41,185.47627249797102,0.822,NA,208.40074479756257,4.5,19.598640000000003,287.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arizona,AZ,0.584892,5,720011684,0,15060202000126,1.6011,603.3501,1.258,0.00387122,1.258,0,128208,127721,0.93647,602.68547,0.9988984339274992,2049.6316,668.2066550260082,-8.348774971756995,17.624106344428775,9.482974809207162,96.8348,0.92,0.94,0.95,0.89,0.97,1.03,0.99,0.9,0.01,0,2.34,0.94,0.62,0.07,0.08,0,85.91,0,7.32,2.5,0,0,0.09,0.12,0.01,0,2.3,0.93,0.67,0.08,0.08,0,75.64,0,8.33,11.75,0,0,0.09,0.12,10.2311,11.3906,230.659,5.3649,2.3284,1.4436,1482.1793,412.9658,1999.4087,445.676,0.0017,0,0,0,1.315,0.0033,24.89,5.96,0,53.48,15.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,0.7996,1.9638,148.3185,33.1577,4.325,0.028,11.3749,11.256,6.2082,1.6905,4.1868,2.2865,0.255,0.0456,51.2083,6.9004805609760975
AZ_WB,2018,NA,StreamPULSE,34.6793,-111.695,NA,NA,NA,NA,20454582,15,229,1,106.28418838323785,-561.2150535312946,14.9527778384376,12.582211095078998,14.96,0.16,0.02,-0.01,1.36,197.44483612502844,0.834,0.21,0.07,0.23,0.21,0.82,331.1220202386494,0.706,40.97,0.2,0.03,0.03,1.28,163.83525772311498,0.292,0.57,0.18,0.06,0,1.33,209.84904221540015,0.834,NA,235.78543672848377,5.200000000000003,8.808720000000001,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arizona,AZ,0.15986500000000003,4,720014866,0,15060202000014,8.4573,299.718,6.515,0.016,6.515,0,120358,109934,1.35203,292.61273,0.9762934825402544,1958.4764,587.1547993059482,-7.116639834996977,18.141602349289265,10.169786275855753,97.3528,0.19,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0,0,0.58,0.09,0.01,0,0,0,71.53,0,26.77,0.75,0,0,0.21,0.06,0,0,0.58,0.09,0.01,0,0,0,71.2,0,27.19,0.66,0,0,0.2,0.06,0.6405,0.8181,207.7337,4.8919,2.0788,1.2587,0,0,0,0,0,0,0,0,0.7349,0,4.65,1.98,0,93.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,0.688,3.156,142.6031,33.312,5.1846,0.0181,13.8734,8.9667,7.8266,1.8486,4.6403,2.9927,0.3182,0.0434,52.6727,6.03120608042037
FL_SF2500,2018,NA,StreamPULSE,29.8493,-82.7148,NA,NA,NA,NA,2161822,03S,252,1,78.2387327760163,-1427.1470595071935,14.1501626418096,10.051683140848889,22.06,0.06,-0.18,0.09,1.26,205.47659158145922,0.902,48.34,0.15,0.41,0.24,0.35,221.4825546036379,0.952,38.77,0.19,-0.05,0.06,1.08,169.32679328685475,0.302,5.21,0.16,-0.14,-0.03,1.34,166.6950264262294,0.821,NA,264.3533180758584,24,49.3776,1195.6998999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Florida,FL,0.832666,5,270009181,0,03110206000173,246.942,2464.4655,24.213,1.5528e-4,24.213,0,986,610,205.62021,2423.14371,0.9832329606561748,39.1744,1297.2311756495649,5.277701711598488,26.97335189154169,20.487937187632717,452.4315,1.15,1.19,1.21,1.1,1.24,1.28,1.26,1.12,1.9,0,5.73,1.69,0.39,0.07,0.48,1.34,33.24,0.42,6.74,7.91,16.3,1.93,20.65,1.21,1.91,0,5.67,1.7,0.45,0.08,0.45,0.68,36.03,0.39,7.4,5.16,16.03,2.16,21.31,0.56,10.7815,28.6761,367.9376,7.0757,2.194,0.7678,1092.6048,471.4767,27.0273,27.0273,0.0016,0,0.0012,0.0032,2.0859,4e-4,2.06,7.83,0,0,0,0,0,0,0,0,0,3.51,0,0,0,69.71,15.88,1.01,0.481,5.6237,6.6537,49.7319,1.5904,20.0621,151.2486,44.183,9.062,0.7457,13.0769,4.937,5.198,2.3036,2.169,1.1362,0.4646,0.2447,57.5209,2.8672432747268144
FL_SF2800,2018,NA,StreamPULSE,29.9118,-82.8606,NA,NA,NA,NA,2161876,03S,248,1,191.69819943734942,-1328.9598304201024,14.038442281836,11.259170972575939,22.08,0.07,-0.18,0.07,1.27,201.04016251175204,0.863,66.9,0.14,0.29,0.22,0.73,216.5300965874309,0.934,38.46,0.19,-0.05,0.05,1.07,170.2058666779436,0.299,2.4,0.26,-0,-0.05,1.36,166.74566627303824,0.825,NA,236.3804370863842,21.5,62.484,857.1999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Florida,FL,0.673972,5,270008818,0,03110206000002,65.9853,3314.6109,11.049,1.0136e-4,11.049,1,308,196,44.47224,3293.0978400000004,0.9935096273291084,35.582,1304.4962135262915,5.230011560078798,26.981544083130593,20.45394570761839,453.1904,1.4,1.45,1.48,1.33,1.52,1.58,1.54,1.35,1.52,0,6.04,2.07,0.52,0.11,0.39,1.4,32.58,0.46,6.98,7.77,18.4,2.48,18.11,1.16,1.59,0,5.97,2.08,0.6,0.13,0.37,0.71,33.97,0.41,7.97,5.92,18.18,2.85,18.67,0.59,13.5248,33.4818,368.1717,7.0673,2.2119,0.7933,929.219,428.6986,136.9454,98.2434,0.0018,3e-4,0.0012,0.0039,2.2932,9e-4,9.52,9.42,0,0,0,0,0,0,0,0,0,2.61,0,0,0,60.65,17.06,0.75,0.6437,5.1645,6.3514,66.7849,1.3243,20.9085,150.8445,45.0176,12.748,0.6644,12.5954,5.9027,5.0671,2.2285,2.413,1.1133,0.4152,0.214,56.6081,2.8784727424197234
FL_WS1500,2018,NA,StreamPULSE,29.9219,-82.4262,NA,NA,NA,NA,2161874,03S,252,1,41.83324413408611,-1006.7505928246712,14.147832892888799,10.548138045169043,20.44,0.15,-0.17,0.01,1.24,206.2650102931138,0.832,17.81,0.5,0.42,0.22,0.22,200.42325881908386,0.908,38.76,0.19,-0.05,0.07,1.06,168.4833535562137,0.336,2.79,0.27,-0.03,-0.12,1.39,173.01742012845298,0.821,NA,283.57076814983543,21.5,41.4528,830.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Florida,FL,0.1321429999999999,5,270010680,0,03110206000010,16.5915,1499.1804,6.004,1e-5,6.004,0,1517,1517,2.19245,1484.78135,0.9903953853719004,42.8647,1286.5120525001614,5.349652990139089,26.90495925115608,20.495295156291725,453.3343,1.16,1.21,1.23,1.11,1.26,1.3,1.28,1.13,2.85,0,5.68,1.7,0.41,0.08,0.73,1.28,32.55,0.3,6.33,7.56,13.33,1.08,24.43,1.69,2.86,0,5.63,1.7,0.46,0.09,0.7,0.68,35.65,0.3,6.72,4.78,13.11,1.18,25.43,0.7,11.464,31.4656,363.2021,6.9952,2.1504,0.7351,1587.1225,645.0513,0,0,0.0013,0,0.002,0.0033,2.0074,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,75.78,21.76,1.65,0.2545,4.347,8.5438,33.4386,1.8944,20.5948,151.4523,42.8748,7.0825,0.8615,13.9489,2.3549,5.3973,2.4225,1.5269,1.1975,0.5176,0.3039,61.6138,2.8378881820770268
IN_SDW,2011,NA,StreamPULSE,41.2216,-86.0447,NA,NA,NA,NA,18487568,05,248,1,191.42177244094347,-401.3224153687697,11.3602568515632,10.372932023967092,11.33,0.36,0,-0.01,1.37,205.96850487256975,0.709,0.16,0.62,0.54,0.29,0.43,55.2020250053155,0.863,31.12,0.29,0.05,-0.01,1.21,178.7530977696849,0.179,0.91,0.49,0.4,0.07,1.21,200.15785387812807,0.845,NA,312.29369910982416,0.5,2.6670000000000003,542.6999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indiana,IN,0.867892,1,430115447,1,05120106000522,14.9256,14.9256,8.071,0.00261045,7.922,0,25759,23691,12.95381,12.95381,0.8678920780404139,250.08690000000001,998.6135451881332,-8.785106029606851,15.27686875717559,9.94594592559093,358,0.9,0.94,0.98,0.77,0.99,1.11,1.04,0.79,0.01,0,3.49,1.25,0.41,0.12,0,3.2,0.3,0,0.04,0.33,2.56,86.2,1.86,0.24,0.01,0,3.36,1.3,0.48,0.12,0,3.2,0.45,0.02,0.04,0.33,2.5,86.08,1.87,0.24,10.6521,25.9165,736.3901,11.8225,5.757,3.9862,0,0,0,0,0,0,0,0,1.4911,0,0,0,0,0,0,0,0,63.72,0,36.28,0,0,0,0,0,0,0,0,38.5844,61.0216,14.357,97.1856,4.8696,10.5713,152.4,54.4577,102.779,0.2677,11.5695,1.1719,14.1159,2.18,1.03,1.5333,0.1594,0.0551,54.4649,2.7894233105813777
MD_DRKR,2016,NA,StreamPULSE,39.3112,-76.7166,NA,NA,NA,NA,11689186,02,240,1,651.2690687990068,-974.4912883860651,12.629359408176,5.06312541698155,14.64,0.28,-0,-0.01,1.35,208.5218900950849,0.795,219.94,0.65,0.7,0.56,0.13,168.49388169033261,0.347,34.51,0.26,0.03,-0.01,1.13,182.849926795589,0.25,1.63,0.38,0.12,-0.12,1.39,194.2900999811885,0.82,NA,93.35288958352616,18,6.7056,620.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maryland,MD,0.16059100000000004,2,200052144,0,02060003000740,7.0722,20.5866,4.78,0.01145606,4.78,0,9715,4239,1.13573,14.65013,0.7116342669503464,124.1737,1129.7380744339862,-4.317421510535543,18.672544153608467,13.025852166867626,371,38.56,38.68,38.82,38.03,38.91,39.22,39,38.31,0.03,0,19.66,34.03,22.5,12.03,0.03,11.15,0,0.25,0.03,0.02,0.23,0,0.04,0,0,0,19.49,33.89,22.67,12.17,0.06,11.14,0,0.25,0.04,0.02,0.23,0,0.04,0,649.5101,1557.4639,630.4154,9.6731,4.4738,2.9535,0,0,0,0,0,0.0486,0,0.0972,13.8116,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0073,0.0142,0.0012,118.1003,0.6751,2.9687,148.4299,46.8018,3.0663,0.0455,12.5141,8.9759,9.2883,0.4584,11.3848,1.814,0.1416,0.0881,48.3287,3.04511610359565
NC_NHC,2018,NA,StreamPULSE,35.9795,-79.0018,NA,NA,NA,NA,8895490,03N,244,1,214.57026442869997,-782.0863284844228,12.675626675157599,4.022025574990016,16.02,0.27,-0.07,-0.07,1.34,200.76113967657284,0.818,0.61,0.69,0.56,0.31,0.65,318.59662745800847,0.667,34.73,0.26,0.01,0.04,1.11,172.32384881195694,0.22,2.87,0.39,0.08,-0.19,1.36,192.9431609290133,0.856,NA,151.6620141977284,21,9.3,397.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North Carolina,NC,0.601707,3,250025743,0,03030002000082,1.2942,81.1656,1.671,0.00443447,1.671,0,8615,7874,0.77873,80.65013,0.9936491567856334,161.9346,1173.9891276268263,-1.689219848276315,21.464333633321733,15.158159212086346,359.9786,1.37,1.52,1.63,1.27,1.64,1.88,1.69,1.31,0.34,0,9.22,1.54,0.99,0.16,0.04,40.19,15.56,18.48,0.99,2.13,8.46,0.58,1.31,0.01,0.35,0,9.21,1.57,1.04,0.17,0.04,40.1,16.1,18.66,0.79,1.74,8.32,0.58,1.32,0.01,38.4271,96.9185,590.3881,8.3659,4.3201,3.1388,0,0,0,0,0,0.0123,0,0,2.3635,0,0,5.32,0,94.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686,3.7444,1.2632,149.6147,0.4445,3.4256,146.3399,29.9,0.7913,0.0377,14.0407,2.9462,5.3896,3.1037,2.1459,2.2734,0.1206,0.0283,64.926,3.2612747747416835
NC_NHC,2019,NA,StreamPULSE,35.9795,-79.0018,NA,NA,NA,NA,8895490,03N,238,1,257.051838896626,-713.2792575733874,13.155127514726399,4.108131143525383,16.26,0.25,-0.04,-0.07,1.36,198.26840211884183,0.786,0.44,0.7,0.58,0.35,0.75,51.58499125736084,0.59,36.04,0.26,-0,0.03,1.19,173.93205563070143,0.249,3.03,0.41,0.09,-0.19,1.33,185.41207524723438,0.917,NA,151.6620141977284,21,9.3,397.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North Carolina,NC,0.601707,3,250025743,0,03030002000082,1.2942,81.1656,1.671,0.00443447,1.671,0,8615,7874,0.77873,80.65013,0.9936491567856334,161.9346,1173.9891276268263,-1.689219848276315,21.464333633321733,15.158159212086346,359.9786,1.37,1.52,1.63,1.27,1.64,1.88,1.69,1.31,0.34,0,9.22,1.54,0.99,0.16,0.04,40.19,15.56,18.48,0.99,2.13,8.46,0.58,1.31,0.01,0.35,0,9.21,1.57,1.04,0.17,0.04,40.1,16.1,18.66,0.79,1.74,8.32,0.58,1.32,0.01,38.4271,96.9185,590.3881,8.3659,4.3201,3.1388,0,0,0,0,0,0.0123,0,0,2.3635,0,0,5.32,0,94.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686,3.7444,1.2632,149.6147,0.4445,3.4256,146.3399,29.9,0.7913,0.0377,14.0407,2.9462,5.3896,3.1037,2.1459,2.2734,0.1206,0.0283,64.926,3.2612747747416835
