mod,tau,L_mean,L_se,L_pval,AIC,R1,D_mean,D_se,D_pval,D_var,C_mean,C_se,C_pval,C_var,C_col,D_col,C_pch,D_pch
Stream_PAR_sum + drainage_density_connected,0.95,0.322300506078219,0.10624144909269279,0.002730116741486821,651.2076142850937,0.10015292525703401,NA,NA,NA,NA,0.01139138480596307,0.09110398984520067,0.9006172552086387,drainage_density_connected,brown3,black,15,NA
Stream_PAR_sum,0.95,0.31997021708612877,0.09543110914770289,9.52382486719916e-4,649.6363125343092,0.09922064829141164,NA,NA,NA,NA,NA,NA,NA,NA,brown3,black,NA,NA
Stream_PAR_sum + Disch_cv + drainage_density_connected,0.95,0.3373211778347105,0.091502771236952607,2.918123001989237e-4,649.6191292503651,0.10791894821093362,-0.10463092463173959,0.11012517070689377,0.3431866060553106,Disch_cv,0.03129567850161594,0.0840599697561781,0.7100565325239347,drainage_density_connected,brown3,brown3,15,1
Stream_PAR_sum + log_RBI + drainage_density_connected,0.95,0.31421173450879913,0.11165686627804208,0.005372869876669739,648.8934976260931,0.10948115898930633,-0.17704086510156683,0.1893490470260381,0.35090053084550354,log_RBI,0.08864181363163924,0.07064215085580139,0.21099386459746472,drainage_density_connected,brown3,brown3,15,2
Stream_PAR_sum + Disch_cv,0.95,0.32909246097840184,0.09095180914720652,3.738913661970322e-4,648.205388154586,0.106654791365417,-0.09672287070196353,0.14014230389072338,0.4908678829693103,Disch_cv,NA,NA,NA,NA,brown3,brown3,NA,1
Stream_PAR_sum + log_RBI,0.95,0.2859685068356665,0.10454516259780876,0.006780157674870058,647.7024272397387,0.10773944088237963,-0.14005820046381784,0.14241685922148567,0.326556658683939,log_RBI,NA,NA,NA,NA,brown3,brown3,NA,2
Stream_PAR_sum + MOD_ann_NPP,0.95,0.2480987654531927,0.09711362249906233,0.011356164930220292,646.0572477453526,0.1112781267781835,NA,NA,NA,NA,-0.11211301282327299,0.07279626853549617,0.12508741197331985,MOD_ann_NPP,brown3,black,16,NA
Stream_PAR_sum + Disch_cv + MOD_ann_NPP,0.95,0.2651079794525691,0.10134832888200813,0.009570387028721594,645.5290502444888,0.11668879787710262,-0.07958448904174693,0.14417196671189528,0.5815481216182288,Disch_cv,-0.07749424999656217,0.07846853151655309,0.32453217200201534,MOD_ann_NPP,brown3,brown3,16,1
Stream_PAR_sum + width_to_area,0.95,0.33190974942646456,0.12026962463053131,0.006314483109197688,644.9550914317452,0.11128945920161526,NA,NA,NA,NA,0.021865572619744342,0.05942784257128798,0.7133051878301806,width_to_area,black,black,18,NA
Stream_PAR_sum + Disch_cv + width_to_area,0.95,0.33182933329535547,0.10286609125730917,0.0014651942828347586,644.568915312323,0.11642171823538838,-0.059744354536128974,0.13187792600034395,0.6510150157181065,Disch_cv,0.010268918348905379,0.0719646747218114,0.8866741840907837,width_to_area,black,brown3,18,1
Stream_PAR_sum + PrecipWs,0.95,0.3137586458427641,0.09806266385299832,0.0015971504939960024,644.4248021758814,0.11243259146122953,NA,NA,NA,NA,-0.14344889689768003,0.10574728896511784,0.1764387226534947,PrecipWs,brown3,black,17,NA
