mod,tau,L_mean,L_se,L_pval,AIC,R1,D_mean,D_se,D_pval,D_var,C_mean,C_se,C_pval,C_var,C_col,D_col,C_pch,D_pch
Stream_PAR_sum + drainage_density_connected,0.95,0.322300506078219,0.10151718843042784,0.0017314167476871756,651.2076142850937,0.10015292525703401,NA,NA,NA,NA,0.01139138480596307,0.09686088453044385,0.9064958579718376,drainage_density_connected,brown3,black,15,NA
Stream_PAR_sum,0.95,0.31997021708612877,0.09518802678751921,9.248454192209987e-4,649.6363125343092,0.09922064829141164,NA,NA,NA,NA,NA,NA,NA,NA,brown3,black,NA,NA
Stream_PAR_sum + Disch_cv + drainage_density_connected,0.95,0.3373211778347105,0.09777643075879672,6.819496582615159e-4,649.6191292503651,0.10791894821093362,-0.10463092463173959,0.10653318172447263,0.3271979936473166,Disch_cv,0.03129567850161594,0.09460243824360157,0.7411272454584288,drainage_density_connected,brown3,brown3,15,1
Stream_PAR_sum + log_RBI + drainage_density_connected,0.95,0.31421173450879913,0.09332689059911113,9.09607357094e-4,648.8934976260931,0.10948115898930633,-0.17704086510156683,0.16585764370443987,0.28704699786476273,log_RBI,0.08864181363163924,0.0750993665839933,0.2392513789770918,drainage_density_connected,brown3,brown3,15,2
Stream_PAR_sum + Disch_cv,0.95,0.32909246097840184,0.0990519055316716,0.0010575430801946784,648.205388154586,0.106654791365417,-0.09672287070196353,0.13677095278837645,0.48025628270241283,Disch_cv,NA,NA,NA,NA,brown3,brown3,NA,1
Stream_PAR_sum + log_RBI,0.95,0.2859685068356665,0.09587637690925908,0.003205556064810988,647.7024272397387,0.10773944088237963,-0.14005820046381784,0.1398191133565127,0.31767038649624935,log_RBI,NA,NA,NA,NA,brown3,brown3,NA,2
Stream_PAR_sum + MOD_ann_NPP,0.95,0.2480987654531927,0.10135390414224452,0.015216587131956949,646.0572477453526,0.1112781267781835,NA,NA,NA,NA,-0.11211301282327299,0.08065891521806898,0.1660545648237266,MOD_ann_NPP,brown3,black,16,NA
Stream_PAR_sum + Disch_cv + MOD_ann_NPP,0.95,0.2651079794525691,0.09961721389772196,0.008407645018976284,645.5290502444888,0.11668879787710262,-0.07958448904174693,0.13230907358058783,0.5481752158347317,Disch_cv,-0.07749424999656217,0.08989866723534372,0.38969487058735375,MOD_ann_NPP,brown3,brown3,16,1
Stream_PAR_sum + width_to_area,0.95,0.33190974942646456,0.11168997985756038,0.0033191669740544327,644.9550914317452,0.11128945920161526,NA,NA,NA,NA,0.021865572619744342,0.06763908793723114,0.7468248219383733,width_to_area,black,black,18,NA
Stream_PAR_sum + Disch_cv + width_to_area,0.95,0.33182933329535547,0.10062470125553265,0.0011518171792461729,644.568915312323,0.11642171823538838,-0.059744354536128974,0.12200987344267397,0.6249000554230557,Disch_cv,0.010268918348905379,0.07197649388210543,0.8866926666221548,width_to_area,black,brown3,18,1
Stream_PAR_sum + PrecipWs,0.95,0.3137586458427641,0.10258708201545971,0.002524632382570502,644.4248021758814,0.11243259146122953,NA,NA,NA,NA,-0.14344889689768003,0.1374830956647409,0.29800726164083113,PrecipWs,brown3,black,17,NA
Stream_PAR_sum + log_RBI + width_to_area,0.95,0.3003419014573353,0.12670719674632683,0.01871208204009167,643.9970730600377,0.11764724471535304,-0.08804173836772507,0.14413186189915148,0.5419911529128245,log_RBI,0.007945108430215855,0.06334190529168805,0.9003062199412184,width_to_area,black,brown3,18,2
Stream_PAR_sum + Disch_cv + PrecipWs,0.95,0.3377807118453305,0.12896866609298643,0.009485199012861045,642.2199208682927,0.12144505554775675,-0.0841730798612184,0.17171875372832104,0.6245385907061121,Disch_cv,-0.07818674384539608,0.15639118778426117,0.6176590901125913,PrecipWs,brown3,brown3,17,1
Stream_PAR_sum + log_RBI + MOD_ann_NPP,0.95,0.1673872423856203,0.09100967017262539,0.06734271848344964,639.2233195590064,0.13004077541428882,-0.17319432848598654,0.14582466646233058,0.23634382603983228,log_RBI,-0.0909851321848446,0.08155161053141577,0.2658800204843177,MOD_ann_NPP,brown3,brown3,16,2
