mod,tau,L_mean,L_se,L_pval,AIC,R1,D_mean,D_se,D_pval,D_var,C_mean,C_se,C_pval,C_var,C_col,D_col,C_pch,D_pch
Stream_PAR_sum + MOD_ann_NPP,0.95,0.7132354665948683,0.23609631259757377,0.0028421516989545204,762.0282912822385,0.12645861420958038,NA,NA,NA,NA,-0.051028881830701915,0.21558120851664483,0.8131241325774303,MOD_ann_NPP,brown3,black,16,NA
Stream_PAR_sum,0.95,0.73371221725724,0.21045053057237323,5.988437242119282e-4,760.8149006695509,0.12479728799036915,NA,NA,NA,NA,NA,NA,NA,NA,brown3,black,NA,NA
Stream_PAR_sum + drainage_density_connected,0.95,0.794901068076078,0.20975943874153133,1.9860633943880046e-4,758.4336887759824,0.13401040544041876,NA,NA,NA,NA,0.15335778906615455,0.20265150222589498,0.4500690072053297,drainage_density_connected,brown3,black,15,NA
Stream_PAR_sum + PrecipWs,0.95,0.7793666811430121,0.2165020484616276,4.002358007795248e-4,757.9891922969581,0.1314943627497006,NA,NA,NA,NA,0.07939539559627587,0.2814035733935369,0.7781230784311988,PrecipWs,brown3,black,17,NA
Stream_PAR_sum + width_to_area,0.95,0.7827235477414615,0.2267139669865058,6.758969927556091e-4,755.9802323904267,0.13571898897011203,NA,NA,NA,NA,0.160597105298935,0.24637620192994045,0.5152436967953316,width_to_area,black,black,18,NA
Stream_PAR_sum + Disch_cv + MOD_ann_NPP,0.95,0.3899650194808464,0.23057139104907473,0.09231442216849661,753.480317941558,0.14843374123501651,-0.3968399396144503,0.20144360318929108,0.050200437296296085,Disch_cv,-0.02641312646995204,0.17994026131927185,0.8834447876186897,MOD_ann_NPP,brown3,brown3,16,1
Stream_PAR_sum + Disch_cv,0.95,0.4182322438414126,0.20402594466138121,0.041653668093346585,752.6193727451156,0.14608756675307866,-0.3787811454152189,0.21422649525583187,0.07853319572422146,Disch_cv,NA,NA,NA,NA,brown3,brown3,NA,1
Stream_PAR_sum + Disch_cv + width_to_area,0.95,0.3795037314531069,0.2421846284024829,0.11867946199872459,748.9627898670548,0.15442999357721598,-0.45183452584985617,0.2332037499128621,0.05407742747667976,Disch_cv,-0.05091449982256589,0.2199563554881357,0.8171797505133305,width_to_area,black,brown3,18,1
Stream_PAR_sum + Disch_cv + PrecipWs,0.95,0.31490464873642926,0.22479540625775776,0.16279325298696712,748.7438248409276,0.1548792680104628,-0.3815753465875982,0.2071094040171801,0.06688452959452951,Disch_cv,-0.19546561591878303,0.21885119699436348,0.3728429113868439,PrecipWs,brown3,brown3,17,1
Stream_PAR_sum + log_RBI,0.95,0.3538775327865607,0.19931109453085022,0.07730569472110238,746.0231463097833,0.1595850674016045,-0.4977685873127449,0.2629982640171346,0.05981788762798468,log_RBI,NA,NA,NA,NA,brown3,brown3,NA,2
