Variable,estimate,se,t_val,p_val,Units,variable
Intercept,0.908035941,0.062246207,14.58781156,0,,Intercept
Total PAR,2.28E-12,0.022316476,1.02E-10,1,mol m$^{-2}$ s$^{-1}$,PAR_sum
Total PAR at stream surface,2.51E-10,0.022368609,1.12E-08,0.999999991,mol m$^{-2}$ s$^{-1}$,Stream_PAR_sum
PAR mean,1.30E-12,0.022306325,5.83E-11,1,mol m$^{-2}$ s$^{-1}$,PAR_mean
PAR coefficient of variation,2.38E-11,0.022759618,1.05E-09,0.999999999,,PAR_cv
PAR skew,1.34E-11,0.023866646,5.64E-10,1,,PAR_skew
PAR kurtosis,-0.157844682,0.023832148,-6.623183051,3.21E-10,,PAR_kurt
PAR amplitude,5.68E-11,0.023623333,2.40E-09,0.999999998,,PAR_amp
PAR phase,-2.49E-10,0.023702996,-1.05E-08,0.999999992,,PAR_phase
PAR AR1 correlation,-4.92E-11,0.022610535,-2.18E-09,0.999999998,,PAR_ar1
Water temperature mean,-2.64E-11,0.022146844,-1.19E-09,0.999999999,degrees C,Wtemp_mean
Water temperature coefficient of variation,4.48E-11,0.022136942,2.02E-09,0.999999998,,Wtemp_cv
Water temperature skew,2.45E-11,0.023918213,1.02E-09,0.999999999,,Wtemp_skew
Water temperature kurtosis,-5.23E-11,0.023776202,-2.20E-09,0.999999998,,Wtemp_kurt
Water temperature amplitude,-3.94E-10,0.02514672,-1.57E-08,0.999999988,,Wtemp_amp
Water temperature phase,4.38E-11,0.028147976,1.55E-09,0.999999999,,Wtemp_phase
Water temperature AR1 correlation,-7.87E-11,0.023212605,-3.39E-09,0.999999997,,Wtemp_ar1
Discharge mean,5.53E-11,0.023190952,2.38E-09,0.999999998,m$^3$ s$^{-1}$,Disch_mean
Discharge coefficient of variation,-3.60E-10,0.022800485,-1.58E-08,0.999999987,,Disch_cv
Discharge skew,-7.83E-10,0.022725673,-3.44E-08,0.999999973,,Disch_skew
Discharge kurtosis,-1.06E-10,0.022123837,-4.78E-09,0.999999996,,Disch_kurt
Discharge amplitude,5.65E-11,0.022955062,2.46E-09,0.999999998,,Disch_amp
Discharge phase,-1.29E-11,0.024368507,-5.28E-10,1,,Disch_phase
Discharge AR1 correlation,1.35E-11,0.022610205,5.95E-10,1,,Disch_ar1
Leaf area index mean,-5.58E-11,0.023786399,-2.34E-09,0.999999998,m$^2$ m$^{-2}$,LAI_mean
Leaf area index coefficient of variation,1.02E-11,0.02286508,4.46E-10,1,,LAI_cv
Leaf area index skew,-3.30E-11,0.023198817,-1.42E-09,0.999999999,,LAI_skew
Leaf area index kurtosis,-1.02E-10,0.021550697,-4.75E-09,0.999999996,,LAI_kurt
Leaf area index amplitude,1.13E-10,0.021662562,5.22E-09,0.999999996,,LAI_amp
Leaf area index phase,1.22E-10,0.023349823,5.21E-09,0.999999996,,LAI_phase
Leaf area index AR1 correlation,1.88E-11,0.022524322,8.34E-10,0.999999999,,LAI_ar1
Median interstorm interval,-1.44E-11,0.027812784,-5.17E-10,1,days,med_interstorm
Maximum interstorm interval,0.081081188,0.02451967,3.306781356,0.001119707,days,max_interstorm
Richards Baker Flashiness Index,-5.41E-11,0.021787059,-2.48E-09,0.999999998,,RBI
Stream width,0.064080605,0.021973002,2.916333664,0.003948284,m,Width
Stream order,2.22E-10,0.022042413,1.01E-08,0.999999992,,NHD_STREAMORDE
Stream slope,5.82E-12,0.022534567,2.58E-10,1,m m$^{-1},NHD_SLOPE
Stream width to watershed area ratio,6.92E-11,0.02102845,3.29E-09,0.999999997,m km$^{-2},width_to_area
Total upstream flow length,5.71E-10,0.022031807,2.59E-08,0.999999979,m,total_flow_length
Connected upstream flow length,6.90E-11,0.025381928,2.72E-09,0.999999998,m,connected_flow_length
Drainage density,-4.97E-12,0.02421597,-2.05E-10,1,m km$^{-2},drainage_density
Drainage density of connected reaches,-5.41E-11,0.022531646,-2.40E-09,0.999999998,m km$^{-2},drainage_density_connected
MODIS annual NPP,-0.062853683,0.023377661,-2.688621514,0.007783057,gC m$^{-2}$ y$^{-1}$,MOD_ann_NPP
Watershed area,3.45E-10,0.021867686,1.58E-08,0.999999987,km$^2$,ws_area_km2
Elevation,0.184680378,0.022029581,8.38329049,9.33E-15,m,ElevWs
Total Precipitation,-9.42E-11,0.022897872,-4.11E-09,0.999999997,mm y$^{-1}$,PrecipWs
Total runoff,-1.12E-12,0.021935592,-5.12E-11,1,mm y$^{-1}$,RunoffWs
Precipitation-runoff ratio,1.58E-11,0.023822316,6.61E-10,0.999999999,,precip_runoff_ratio
Minimum air temperature,-9.15E-11,0.022995591,-3.98E-09,0.999999997,degrees C,TminWs
Maximum air temperature,-1.64E-10,0.022178497,-7.41E-09,0.999999994,degrees C,TmaxWs
Mean air temperature,-6.50E-10,0.02240432,-2.90E-08,0.999999977,degrees C,TmeanWs
Housing unit density (2010),-4.21E-11,0.021104353,-1.99E-09,0.999999998,units km$^{-2},HUDen2010Ws
Population density (2010),-3.68E-11,0.021937233,-1.68E-09,0.999999999,people km$^{-2},PopDen2010Ws
Road density (2010),-2.98E-11,0.021173258,-1.41E-09,0.999999999,m km$^{-2},RdDensWs
Percent impervious surface cover,-6.33E-11,0.021436191,-2.95E-09,0.999999998,%,Pct_impcov
